Source,Sample,Class1,Class2,Physical State,Color,Recycled,Alternate names,bigSMILES,CAS number,Material Keywords,reference URL
Commercial Supplier 4,P0066HDPE,PE,HDPE,Pellet,White,Yes,"`high density polyethylene','HDPE','polyethylene'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 4,P0042LDPE,PE,LDPE,Pellet,Gray,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0018LDPE,PE,LDPE,Pellet,Natural,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0002LDPE,PE,LDPE,Pellet,Black,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0005LDPE,PE,LDPE,Pellet,Natural,Yes,"`low density polyethylene','LDPE','polyethylene'","{[][$]CC[$],[$]CC([$])[$],[$]CC([$])([$])[$][]}",9002-88-4,"polyolefins','semicrystalline'",
Commercial Supplier 4,P0060LLDPE,PE,LLDPE,Pellet,Natural,Yes,"`linear low density polyethylene','LLDPE','polyethylene'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"polyolefins','semicrystalline','copolymer'",
Commercial Supplier 4,P0051LLDPE,PE,LLDPE,Pellet,Natural,Yes,"`linear low density polyethylene','LLDPE','polyethylene'","{[][$]CC[$],[$]CC({[$][$]C[$][$]}C)[$][]}",9002-88-4,"polyolefins','semicrystalline','copolymer'",
Commercial Supplier 3,E0046PP,PP,PP,Pellet,Gray,Yes,"`polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 3,E0035PP,PP,PP,Pellet,Black,Yes,"`polypropylene','PP'",{[][$]CC(C)[$][]},9003-07-0,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0028PE,PE,,Pellet,Natural,,"`polyethylene', 'PE'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
Commercial Supplier 2,C0079PE,PE,,Pellet,Natural,,"`polyethylene', 'PE'",{[][$]CC[$][]},9002-88-4,"polyolefins','semicrystalline','linear','homopolymer'",
